,Average Earnings
678,325.0
679,50.66
680,99.59
681,84.11
682,483.0
683,396.82
684,322.69
685,109.27
686,87.96
687,545.45
688,273.21
689,102.8
690,250.98
691,1900.0
692,65.99
693,227.73
694,1571.43
695,197.45
696,85.56
697,222.47
698,414.44
699,59.67
700,667.73
701,169.81
702,250.0
703,217.65
704,48.05
705,609.76
706,147.29
707,298.85
708,285.71
709,303.53
710,463.6
711,102.36
712,194.16
713,172.19
714,73.08
715,3581.0
716,158.73
717,178.7
718,445.5
719,91.6
720,295.0
721,392.22
722,175.23
723,209.73
724,700.0
725,139.28
726,175.68
727,286.82
728,694.0
729,150.22
730,218.68
731,94.09
732,456.67
733,289.47
734,214.69
735,193.97
736,83.74
737,254.9
738,186.58
739,262.61
740,45.9
741,1133.33
742,342.11
743,129.51
744,306.82
745,675.0
746,76.66
747,214.29
748,83.6
749,145.51
750,578.89
751,196.59
752,833.25
753,65.35
754,326.79
755,624.83
756,103.34
757,553.57
758,354.84
759,571.43
760,339.0
761,111.69
762,470.0
763,218.0
764,326.7
765,296.45
766,60.11
767,183.27
768,222.22
769,403.75
770,268.92
771,500.0
772,176.8
773,110.34
774,64.02
775,545.45
776,64.17
777,430.46
778,590.83
779,238.33
780,694.44
781,254.55
782,1050.0
783,349.79
784,86.96
785,209.2
786,27.06
787,134.62
788,215.91
789,263.57
790,212.65
791,81.12
792,221.43
793,198.51
794,1256.4
795,96.49
796,162.81
797,122.22
798,218.57
799,130.83
800,297.3
801,118.24
802,126.55
803,287.76
804,215.69
805,1000.0
806,100.0
807,476.19
808,245.38
809,366.26
810,1486.0
811,989.0
812,82.36
813,146.2
814,43.8
815,104.8
816,151.52
817,33.45
818,77.82
819,136.84
820,92.26
821,60.98
822,1463.0
823,289.47
824,234.57
825,364.75
826,176.36
827,290.2
828,140.52
829,724.25
830,180.0
831,500.0
832,80.95
833,239.17
834,950.0
835,483.0
836,218.69
837,1421.0
838,182.44
839,296.14
840,105.12
841,173.41
842,379.78
843,103.69
844,345.97
845,178.69
846,43.55
847,866.67
848,1400.0
849,560.0
850,421.05
851,130.98
852,56.42
853,301.89
854,133.88
855,153.33
856,460.0
857,122.19
858,67.8
859,262.5
860,196.43
861,182.67
862,170.3
863,160.29
864,263.0
865,107.41
866,96.79
867,173.33
868,97.55
869,65.09
870,920.0
871,149.89
872,76.54
873,112.5
874,184.4
875,54.37
876,672.6
877,89.24
878,313.94
879,118.93
880,71.62
881,662.5
882,340.21
883,94.29
884,175.65
885,210.78
886,525.0
887,238.1
888,655.25
889,122.17
890,113.57
891,160.0
892,219.3
893,165.0
894,53.1
895,303.0
896,117.98
897,117.65
898,479.45
899,117.99
900,429.33
901,168.92
902,148.71
903,326.53
904,111.11
905,235.96
906,2006.67
907,74.24
908,635.25
909,68.57
910,111.66
911,229.45
912,303.37
913,1260.0
914,418.67
915,114.14
916,113.73
917,357.14
918,163.16
919,61.09
920,81.09
921,629.63
922,112.86
923,112.22
924,145.35
925,69.08
926,49.2
927,427.03
928,84.14
929,186.4
930,346.71
931,112.11
932,105.43
933,121.15
934,2086.67
935,56.64
936,194.81
937,805.0
938,802.67
939,343.75
940,109.36
941,200.42
942,450.0
943,196.43
944,299.5
945,279.07
946,105.83
947,654.6
948,392.5
949,145.58
950,941.18
951,62.13
952,58.38
953,70.01
954,333.86
955,182.69
956,204.02
957,155.48
958,193.33
959,46.22
960,403.16
961,1166.67
962,278.2
963,265.62
964,76.77
965,120.14
966,49.78
967,114.4
968,128.71
969,70.87
970,142.38
971,106.95
972,66.3
973,138.67
974,61.32
975,160.64
976,551.72
977,171.62
978,101.13
979,51.88
980,220.6
981,444.6
982,102.74
983,103.78
984,142.27
985,368.83
986,41.9
987,81.48
988,139.9
989,35.31
990,416.67
991,99.17
992,83.1
993,44.68
994,120.0
995,190.58
996,1080.0
997,304.35
998,126.71
999,1293.1
1000,1300.0
1001,326.25
1002,180.42
1003,248.78
1004,334.38
1005,250.0
1006,126.97
1007,41.27
1008,304.43
1009,48.25
1010,132.94
1011,160.0
1012,317.88
1013,177.29
1014,124.65
1015,162.69
1016,65.12
1017,103.87
1018,421.2
1019,514.29
1020,183.49
1021,1050.0
1022,1050.0
1023,535.0
1024,185.71
1025,370.83
1026,335.71
1027,218.42
1028,153.85
1029,81.03
1030,130.45
1031,125.0
1032,109.74
1033,173.5
1034,18.28
1035,115.39
1036,102.81
1037,81.38
1038,140.85
1039,1032.5
1040,51.6
1041,77.04
1042,102.23
1043,370.37
1044,205.79
1045,17.95
1046,410.0
1047,1025.0
1048,65.17
1049,565.22
1050,34.71
1051,157.31
1052,523.81
1053,508.75
1054,226.0
1055,290.0
1056,56.76
1057,154.15
1058,404.2
1059,1010.0
1060,168.42
1061,404.22
1062,120.88
1063,223.67
1064,54.73
1065,180.33
1066,859.29
1067,455.0
1068,2000.0
1069,1000.0
1070,2000.0
1071,1717.33
1072,182.48
1073,63.86
1074,833.33
1075,174.72
1076,272.73
1077,98.57
1078,70.84
1079,85.96
1080,493.75
1081,113.44
1082,56.37
1083,83.68
1084,16.98
1085,323.17
1086,65.92
1087,392.28
1088,67.1
1089,84.97
1090,769.0
1091,60.08
1092,201.26
1093,94.52
1094,207.55
1095,46.12
1096,240.62
1097,96.15
1098,99.48
1099,162.45
1100,96.67
1101,273.71
1102,129.92
1103,191.1
1104,159.17
1105,406.17
1106,136.14
1107,150.0
1108,127.0
1109,164.9
1110,107.38
1111,100.21
1112,850.34
1113,583.33
1114,213.43
1115,116.67
1116,49.5
1117,181.96
1118,316.25
1119,250.0
1120,873.17
1121,140.29
1122,113.54
1123,84.55
1124,97.4
1125,225.1
1126,102.78
1127,2016.88
1128,407.14
1129,357.56
1130,312.5
1131,631.58
1132,76.79
1133,51.52
1134,230.77
1135,170.93
1136,117.42
1137,82.0
1138,80.96
1139,58.61
1140,51.71
1141,58.35
1142,72.36
1143,114.28
1144,360.0
1145,450.0
1146,3094.34
1147,370.0
1148,900.0
1149,900.0
1150,225.0
1151,597.7
1152,114.88
1153,457.14
1154,128.21
1155,89.7
1156,88.4
1157,119.0
1158,95.79
1159,219.09
1160,309.73
1161,355.0
1162,60.57
1163,50.37
1164,144.25
1165,109.76
1166,293.33
1167,58.63
1168,711.33
1169,131.07
1170,350.0
1171,257.58
1172,1285.71
1173,132.84
1174,132.2
1175,468.4
1176,102.47
1177,261.54
1178,52.48
